2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory ,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e,Scope 3 emissions  tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions  tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)", Sales/Revenue,Profit
148,China Minsheng Bank       ,Banking,China,10 177 ,77 185,--,9 829,69 937,79 766,--,,$61 555,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2019, page 33 file:///C:/Users/muham/Downloads/2019%20ESG%20REPORT.pdf ; 2020, page 31 file:///C:/Users/muham/Downloads/%E6%B0%91%E7%94%9F%E9%93%B6%E8%A1%8C2020%E5%B9%B4%E5%BA%A6ESG%E6%8A%A5%E5%91%8A%E7%BB%88%E7%A8%BF%EF%BC%88%E8%8B%B1%E6%96%87%E7%89%88%EF%BC%89.pdf",$49 000 000 000,$4 910 000 000
149,Linde         ,Chemicals,United Kingdom,16 461 000 ,22 250 000,15 412 000,16 247 000,20 969 000,37 216 000,14 403 000,51 619 000,$67,$48,#REF!,#REF!,#REF!,#REF!,#REF!,1 898,$0,"sustainable-development-report, page 62 https://www.linde.com/-/media/linde/merger/documents/sustainable-development/2020/sustainable-development-report.pdf",$27 200 000 000,$2 500 000 000
150,Amgen         ,Drugs & Biotechnology,United States,98 105 ,174 000,3 057 260,117 947,149 914,267 861,2 895 330,3 163 191,$27 104,$2 295,#REF!,#REF!,#REF!,#REF!,#REF!,126,$23,"2019_summary_of_data, page 16 https://www.amgen.com/responsibility/reporting-and-metrics/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/responsibility-report/2019_summary_of_data.pdf ; 2020, page 15 https://www.amgen.com/responsibility/reporting-and-metrics/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/responsibility-report/2020_summary_of_data.pdf",$25 200 000 000,$7 260 000 000
151,Allstate         ,Insurance,United States,39 200 ,161 100,8 900,20 849,77 818,98 667,7 800,106 467,$56 453,$52 317,#REF!,#REF!,#REF!,#REF!,#REF!,2,$523,"Allstate_ESGDataDownload2020, page 1 https://www.allstatesustainability.com/content/documents/Allstate_ESGDataDownload2020.pdf?v2021-08-06",$44 800 000 000,$5 570 000 000
152,PayPal         ,Business Services & Supplies,United States,6 500 ,46 600,59 600,3 000,22 100,25 100,13 600,38 700,$167 331,$108 527,#REF!,#REF!,#REF!,#REF!,#REF!,2,$1 085,"PayPal-2020-Global-Impact-Report, page 48 https://s26.q4cdn.com/519805829/files/doc_downloads/PayPal-2020-Global-Impact-Report-update.pdf",$21 400 000 000,$4 200 000 000
153,Orange         ,Telecommunications Services,France,295 636 ,1 007 045,60 111,324 692,994 582,1 319 274,14 700,1 333 974,$4 169,$4 123,#REF!,#REF!,#REF!,#REF!,#REF!,28,$41,"orange_integratedannualreport_2020, page 68 https://rai2020.orange.com/wp-content/uploads/sites/44/2021/07/orange_integratedannualreport_2020_en_2.pdf",$48 200 000 000,$5 500 000 000
154,Hyundai Motor        ,Consumer Durables,South Korea,807 498 ,1 897 885,115 849 030,716 237,1 680 079,2 396 316,93 881 255,96 277 571,$505,$13,#REF!,#REF!,#REF!,#REF!,#REF!,1 093,$0,"hmc-2021-sustainability-report, page 22 https://www.hyundai.com/content/hyundai/ww/data/csr/data/0000000049/attach/english/hmc-2021-sustainability-report-en-v6.pdf",$88 100 000 000,$1 210 000 000
154,Banco Bradesco        ,Banking,Brazil,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://banco.bradesco/assets/classic/pdf/sustentabilidade/ESG%20Management%20and%20Engagement_1.pdf,$26 700 000 000,$3 210 000 000
156,Danaher         ,Conglomerates,United States,140 743 ,205 250,--,116 770,196 000,312 770,--,,$11 670,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Danaher-2021-Sustainability-Report, page 91 https://sustainability.danaher.com/images/Danaher-2021-Sustainability-Report.pdf",$22 300 000 000,$3 650 000 000
157,Westpac Banking Group       ,Banking,Australia,7 018 ,107 450,83 243,5 694,95 786,101 480,88 588,190 068,$15 274,$8 155,#REF!,#REF!,#REF!,#REF!,#REF!,9,$82,"Guidance - Organisations - Public Disclosure Statement, page 6 https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/2020_Climate_Active_Public_Disclosure_Statement.pdf",$21 900 000 000,$1 550 000 000
158,L'Oréal         ,Household & Personal Products,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/documents-media/publications/commitments/bilanges2020lorealen.pdf,$31 900 000 000,$4 060 000 000
159,Petrobras         ,Oil & Gas Operations,Brazil,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://petrobras.com.br/data/files/E8/97/B4/61/5E56F7105FC7BCD7E9E99EA8/11_PET_clima_ingles_2022_fz.pdf,$52 700 000 000,$1 380 000 000
160,NextEra Energy        ,Utilities,United States,45 645 691 ,--,--,43 311 568,14 539,43 326 107,6 017,43 332 124,$67,$67,#REF!,#REF!,#REF!,#REF!,#REF!,2 519,$1,"2020 NEE ESG Report, page 77 https://www.nexteraenergy.com/pdf/2020%20NEE%20ESG%20Report.pdf",$17 200 000 000,$2 920 000 000
161,AstraZeneca         ,Drugs & Biotechnology,United Kingdom,269 647 ,386 315,5 716 412,240 052,207 005,447 057,5 985 733,6 432 790,$7 136,$496,#REF!,#REF!,#REF!,#REF!,#REF!,232,$5,"Sustainability_Data_Summary_2021, page 5,6 https://www.astrazeneca.com/content/dam/az/Sustainability/2022/pdf/Sustainability_Data_Summary_2021.pdf",$27 700 000 000,$3 190 000 000
162,China Everbright Bank       ,Banking,China,8 992 913 ,344 331,13 554,10 717 354,454 575,11 171 929,42 076,11 214 005,$491,$489,#REF!,#REF!,#REF!,#REF!,#REF!,302,$5,"sr2020, page 93 https://www.cebenvironment.com/tc/csr/sustainability/sr2020.pdf",$37 100 000 000,$5 480 000 000
163,Salesforce.com         ,IT Software & Services,United States,5 511 ,309 749,171 960,6 613,320 772,327 385,198 416,525 801,$12 432,$7 741,#REF!,#REF!,#REF!,#REF!,#REF!,25,$77,"sustainability-FY20-stakeholder-impact-report, page 63 https://www.salesforce.com/news/wp-content/uploads/sites/3/2020/08/sustainability-FY20-stakeholder-impact-report.pdf",$21 300 000 000,$4 070 000 000
164,Oversea-Chinese Banking        ,Banking,Singapore,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.ocbc.com/iwov-resources/sg/ocbc/gbc/pdf/ocbc%20sustainability%20report%202020.pdf,$24 500 000 000,$2 600 000 000
165,Aviva         ,Insurance,Venezuela,14 207 ,21 340,14 628,11 749,17 834,29 583,5 081,34 664,$120 001,$102 412,#REF!,#REF!,#REF!,#REF!,#REF!,1,$1 024,"2020 Sustainability Summary, page 11 file:///C:/Users/muham/Downloads/sustainability-summary-kpi-sheet-and-limited-assurance-statement-2020.pdf",$59 000 000 000,$3 550 000 000
165,United Parcel Service       ,Transportation,United States,--,--,--,15751,749,,21437,,,,#REF!,#REF!,,,#REF!,,,"2020_UPS_TCFD_Report_081921, page 5 https://about.ups.com/content/dam/upsstories/assets/reporting/sustainability-2021/2020_UPS_TCFD_Report_081921.pdf",$84 400 000 000,$1 430 000 000
167,Progressive         ,Insurance,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"https://s24.q4cdn.com/447218525/files/doc_downloads/2021/Progressive_2020CSReport.pdf#page=48&zoom=100,0,0",$42 600 000 000,$5 700 000 000
168,NAB - National Australia Bank     ,Banking,Australia,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.nab.com.au/content/dam/nab/documents/reports/corporate/2021-annual-review.pdf,$18 400 000 000,$1 730 000 000
169,Accenture         ,IT Software & Services,Ireland,20 859 ,236 644,1 028 073,13 945,162 983,176 928,677 994,854 922,$30 860,$6 387,#REF!,#REF!,#REF!,#REF!,#REF!,19,$64,"Performance Data Table, Page 4 https://www.accenture.com/_acnmedia/PDF-149/Accenture-UNGC-Performance-Data-Table.pdf#zoom=40",$45 700 000 000,$5 460 000 000
170,Southern Company        ,Utilities,United States,88 200 000 ,200 000,38 800 000,75 100 000,200 000,75 300 000,36 600 000,111 900 000,$42,$28,#REF!,#REF!,#REF!,#REF!,#REF!,5 540,$0,"Southern Company ESG Data Table, page 1 https://www.southerncompany.com/content/dam/southerncompany/pdfs/about/governance/reports/Southern_Company_Data_Download.pdf",$20 200 000 000,$3 130 000 000
171,Canadian Imperial Bank       ,Banking,Canada,23 172 ,37 110,29 204,22 149,35 041,57 190,15 451,72 641,$54 905,$43 226,#REF!,#REF!,#REF!,#REF!,#REF!,4,$432,"GHG Emissions Performance Table 2020, page 1 https://www.cibc.com/content/dam/cibc-public-assets/about-cibc/corporate-responsibility/environment/documents/ghg-emissions-performance-table-en.pdf",$17 600 000 000,$3 140 000 000
172,China Shenhua Energy       ,Materials,China,151 510 000 ,5 890 000,--,126 680 000,8 220 000,134 900 000,--,,$38,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 Environmental, Social and Governance Report, Page 95 http://www.csec.com/zgshwwEn/csrrpt2020/202103/72e4f8a7bfa94686b23cacbdf7c2ca87/files/ba0dc29d97e04253afc4e850db3d15ea.pdf",$33 900 000 000,$5 150 000 000
173,SK Hynix        ,Semiconductors,South Korea,103 208 ,4 706 167,88 959,106 640,4 829 381,4 936 021,99 765,5 035 786,$816,$800,#REF!,#REF!,#REF!,#REF!,#REF!,187,$8,"SK hynix 2021 Sustainability Report, page 105 file:///C:/Users/muham/Downloads/2834063118223694.pdf",$27 000 000 000,$4 030 000 000
174,Philip Morris International       ,"Food, Drink & Tobacco",United States,437 849 ,174 905,24 975 982,322 633,90 366,412 999,3 590 000,4 002 999,$19 467,$2 008,#REF!,#REF!,#REF!,#REF!,#REF!,139,$20,"PMI Integrated Report 2020, page 140 https://pmidotcom3-prd.s3.amazonaws.com/docs/default-source/pmi-sustainability/pmi-integrated-report-2020.pdf?sfvrsn=f17a78b7_6",$28 700 000 000,$8 040 000 000
175,VINCI         ,Construction,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.vinci.com/commun/presentations.nsf/8C39E84886E5124FC12585850055CC48/$file/vinci-esg-june-2020.pdf,$50 100 000 000,$1 410 000 000
176,Mondelez International        ,"Food, Drink & Tobacco",United States,--,--,24975982,--,--,,25445917,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"020_MDLZ_Snacking_Made_Right_Report, page 34 020_MDLZ_Snacking_Made_Right_Report",$26 600 000 000,$3 570 000 000
177,Lloyds Banking Group       ,Banking,United Kingdom,48 246 ,107 410,53 225,39 107,87 783,126 890,32 597,159 487,$8 748,$6 960,#REF!,#REF!,#REF!,#REF!,#REF!,4,$70,"ESG report 2020, page 36 https://www.lloydsbankinggroup.com/assets/pdfs/who-we-are/responsible-business/downloads/lbg-esg-interactive-210223.pdf",$43 400 000 000,$1 110 000 000
178,Mitsui         ,Trading Companies,Japan,3 189 000 ,587 000,52 000,3 298 000,570 000,3 868 000,32 046 000,35 914 000,$618,$67,#REF!,#REF!,#REF!,#REF!,#REF!,600,$1,"Sustainability Report 2021, page 131 https://www.mitsui.com/jp/en/sustainability/sustainabilityreport/2021/pdf/en_sustainability_2021.pdf",$59 900 000 000,$2 390 000 000
179,Union Pacific        ,Transportation,United States,10 674 091 ,315 994,17 084,8 979 288,301 504,9 280 792,2 844 836,12 125 628,$576,$441,#REF!,#REF!,#REF!,#REF!,#REF!,622,$4,"2020_build_america_rep, page 26 https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2020_build_america_rep.pdf ; page 6 https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2021_climate_action_pln.pdf",$19 500 000 000,$5 350 000 000
180,3M         ,Conglomerates,United States,4 464 360 ,1 962 114,9 832 616,3 600 000,1 680 000,5 280 000,9 278 000,14 558 000,$1 019,$370,#REF!,#REF!,#REF!,#REF!,#REF!,452,$4,https://multimedia.3m.com/mws/media/2006066O/2021-sustainability-report.pdf,$32 200 000 000,$5 380 000 000
180,The CK Hutchison Group   ,Conglomerates,Hong Kong,302 521 ,210 795,--,272 475,175 587,448 062,--,,$8 392,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Sustainability, page 32 https://doc.irasia.com/listco/hk/ckh/annual/2020/esr.pdf",$34 300 000 000,$3 760 000 000
182,ICICI Bank        ,Banking,India,16 000 ,127 000,--,17 000,128 000,145 000,--,,$13 724,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"img_ICICI-Bank-ESG-Report-2021, page 49 file:///C:/Users/muham/Downloads/img_ICICI-Bank-ESG-Report-2021.pdf",$21 300 000 000,$1 990 000 000
183,Midea Group        ,Consumer Durables,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.midea-group.com/asset/Midea-Group/Midea-Group---Humanizing-Technology---Annual-Report-2020---30Apr2021.pdf,$39 100 000 000,$3 560 000 000
184,Exelon         ,Utilities,United States,9 395 000 ,6 103 000,180 732 000,8 493 000,5 228 000,13 721 000,178 659 000,192 380 000,$143,$10,#REF!,#REF!,#REF!,#REF!,#REF!,5 760,$0,"dwnld_Exelon_CSR, page 142 https://www.exeloncorp.com/sustainability/Documents/dwnld_Exelon_CSR%20(1).pdf",$33 400 000 000,$1 960 000 000
185,Credit Suisse Group       ,Banking,Switzerland,11 214 ,117 874,95 523,10 773,78 537,89 310,26 466,115 776,$31 799,$24 530,#REF!,#REF!,#REF!,#REF!,#REF!,4,$245,"Sustainability Report 2021, page 62 file:///C:/Users/muham/Downloads/csg-sr-2021-en.pdf",$32 600 000 000,$2 840 000 000
186,Eli Lilly        ,Drugs & Biotechnology,United States,192 000 ,596 000,235 000,159 000,551 000,710 000,176 000,886 000,$8 718,$6 986,#REF!,#REF!,#REF!,#REF!,#REF!,36,$70,https://esg.lilly.com/environmental,$24 500 000 000,$6 190 000 000
187,CNOOC         ,Oil & Gas Operations,Hong Kong,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.cnoocltd.com/attach/0/1f327d785d4b4fb4bb704eda72ae190a.pdf,$22 500 000 000,$3 630 000 000
188,Legal & General Group      ,Insurance,United States,15 226 ,26 731,7 594,15 163,21 441,36 604,5 021,41 625,$56 005,$49 249,#REF!,#REF!,#REF!,#REF!,#REF!,1,$492,"data-centre-2020, page 20 https://group.legalandgeneral.com/media/kr2gmdd3/data-centre-2020.pdf",$64 400 000 000,$2 050 000 000
189,Aflac         ,Insurance,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://esg.aflac.com/storage/downloads/2022-03-13/Aflac%20ESG%20Report%20-%201647168496.pdf,$22 100 000 000,$4 780 000 000
190,China Resources Land       ,Construction,Hong Kong,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://en.crland.com.hk/mReport_25944/202104/P020210428584729626459.pdf,$27 100 000 000,$4 340 000 000
191,BBVA-Banco Bilbao Vizcaya       ,Banking,Spain,17 092 ,546 521,56 700,12 467,286 000,298 467,7 506,305 973,$4 992,$4 870,#REF!,#REF!,#REF!,#REF!,#REF!,9,$49,"Portada_y_Portadillas_Informe_Anual_2020, page 99 https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/02/Annual-Report-2020_ENG_1.pdf",$32 900 000 000,$1 490 000 000
192,HCA Healthcare        ,Health Care Equipment & Services,United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://hcahealthcare.com/util/documents/2021/2021-Document-HCA-Healthcare-2021-Sustainability-Report-a.pdf,$51 500 000 000,$3 750 000 000
193,Duke Energy        ,Utilities,United States,93 000 ,N/A,N/A,N/A,N/A,N/A,N/A,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,https://desitecoreprod-cd.azureedge.net/_/media/pdfs/our-company/climate-report-2020.pdf?la=en&rev=45b5aec13ca1407084733f90e0d0847a,$23 900 000 000,$1 380 000 000
194,América Móvil        ,Telecommunications Services,Mexico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://s22.q4cdn.com/604986553/files/doc_downloads/2021/05/2020-Sustainability-Report.pdf,$47 300 000 000,$2 180 000 000
195,Takeda Pharmaceutical        ,Drugs & Biotechnology,Japan,367 069 ,625 010,4 346 413,--,--,--,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"takeda2020sustainabilityreport, page 32 https://www.takeda.com/48f1a6/siteassets/system/corporate-responsibility/sustainable-value-report/takeda2020sustainabilityreport_en.pdf",$30 000 000 000,$1 690 000 000
196,DBS         ,Banking,Singapore,136 ,37 304,15 755,992,40 724,41 716,13 008,54 724,$81 983,$62 495,#REF!,#REF!,#REF!,#REF!,#REF!,4,$625,"2019, page 24 https://www.dbs.com/iwov-resources/images/sustainability/reporting/pdf/DBS%20Sustainability%20Report%202019%2020200306.pdf?pid=sg-group-pweb-sustainability-pdf-dbs-sustainability-report-2019 ; 2020, page 50 https://links.sgx.com/FileOpen/DBS%20Sustainability%20Report%202020.ashx?App=Announcement&FileID=651247",$13 200 000 000,$3 420 000 000
197,Bank of New York Mellon     ,Banking,United States,8 930 ,147 270,16 099,6 524,121 708,128 232,2 490,130 722,$27 762,$27 233,#REF!,#REF!,#REF!,#REF!,#REF!,8,$272,"2019, page 99 https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/2019-csr-report.pdf.coredownload.pdf ; 2020, page 89 https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/2020-enterprise-esg-report.pdf.coredownload.pdf",$15 900 000 000,$3 560 000 000
198,Longfor Group Holdings       ,Construction,China,--,--,--,10775,538611,,--,,,,#REF!,#VALUE!,,,#VALUE!,,,"Sustainability Report, page 44 https://www.longfor.com/upload/file/2021-05-31/da40270f-e94e-4595-b13f-3c62d48a77fd.pdf",$27 000 000 000,$2 920 000 000
199,Schneider Electric        ,Capital Goods,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://download.schneider-electric.com/files?p_enDocType=Brochure&p_File_Name=SD+Report+-+EN.pdf&p_Doc_Ref=SustainabilityReport2020EN,$28 700 000 000,$2 420 000 000
200,Travelers         ,Insurance,United States,26 175 ,30 831,19 642,14 881,24 149,39 030,6 245,45 275,$68 665,$59 194,#REF!,#REF!,#REF!,#REF!,#REF!,1,$592,"2020 Travelers Sustainability Report, page 84 https://sustainability.travelers.com/downloads/Travelers_SustainabilityReport2020.pdf",$32 000 000 000,$2 680 000 000
201,McDonald's         ,"Hotels, Restaurants & Leisure",United States,117 985 ,542 462,58 373 603,107 362,475 531,582 893,59 199 519,59 782 412,$8 115,$79,#REF!,#REF!,#REF!,#REF!,#REF!,3 114,$1,"2019 ESG Reporting, page 85 https://corporate.mcdonalds.com/content/dam/gwscorp/assets/ourpurposeimpact/McDonalds_ESGReporting_WebsiteArchive_2019.pdf ; 2020 https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/our-planet/climate-action.html#:~:text=As%20of%20the%20end%20of,the%20way%20toward%20our%20target.",$19 200 000 000,$4 730 000 000
201,Poly Developments & Holdings Group     ,Construction,China,--,--,--,670,11712,,12382,,,,#REF!,#REF!,,,#REF!,,,"Poly Corporate Social Responbility - 2020 Report, page 19 https://www.poly.com/content/dam/www/company/csr/doc/Poly-CSR-Report-2020-en.pdf ; 2019 https://www.poly.com/content/dam/www/company/csr/doc/Poly-CSR-Report-2019-en.pdf",$34 300 000 000,$3 450 000 000
203,Tokio Marine Holdings       ,Insurance,Japan,17 478 ,62 100,31 594,13 163,53 977,67 140,22 754,89 894,$20 405,$15 240,#REF!,#REF!,#REF!,#REF!,#REF!,2,$152,"sustainability_web_2021, page 190 https://www.tokiomarinehd.com/en/sustainability/pdf/sustainability_web_2021_2.pdf",$49 700 000 000,$1 370 000 000
204,China Telecom        ,Telecommunications Services,China,210 000 ,13 340 000,--,210 000,13 550 000,13 760 000,--,,$218,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"annual2020, page 117 https://www.chinatelecom-h.com/en/ir/report/annual2020.pdf",$57 000 000 000,$3 000 000 000
205,Nike         ,Household & Personal Products,United States,102 985 ,10 300 796,3 583 331,47 395,159 266,206 661,11 500 000,11 706 661,$16 597,$293,#REF!,#REF!,#REF!,#REF!,#REF!,304,$3,"Impact-Report1, page 45, https://purpose-cms-preprod01.s3.amazonaws.com/wp-content/uploads/2021/03/30191542/FY20-NIKE-Inc.-Impact-Report1.pdf",$38 500 000 000,$3 430 000 000
206,Qualcomm         ,Semiconductors,United States,82 993 ,125 729,123 736,123 986,223 821,347 807,2 982 131,3 329 938,$19 350,$2 021,#REF!,#REF!,#REF!,#REF!,#REF!,125,$20,"2021-qualcomm-corporate-responsibility-report, page 41, https://www.qualcomm.com/media/documents/files/2021-qualcomm-corporate-responsibility-report.pdf",$26 700 000 000,$6 730 000 000
207,Centene         ,Drugs & Biotechnology,United States,17 510 ,113 048,--,13 864,140 658,154 522,--,,$11 714,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"TCFD Report 2021, page 24 https://www.centene.com/content/dam/centenedotcom/documents/CNC_TCFDReporting_082021_508.pdf",$111 100 000 000,$1 810 000 000
208,Micron Technology        ,Semiconductors,United States,3 521 380 ,3 861 145,--,3 281 887,3 859 402,7 141 289,--,,$448,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2021 Sustainability Report, page 77, https://media-www.micron.com/-/media/client/global/documents/general/about/micron_sustainability-report-fy21-final.pdf",$23 500 000 000,$3 200 000 000
209,Cathay Financial        ,Insurance,Taiwan,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,file:///C:/Users/muham/Downloads/2020csrReport%20(3).pdf,$37 900 000 000,$2 530 000 000
210,EDF         ,Utilities,France,33 000 000 ,300 000,119 000 000,28 000 000,300 000,28 300 000,107 000 000,135 300 000,$26,$5,#REF!,#REF!,#REF!,#REF!,#REF!,1 719,$0,"URD 2020 including the 2020 financial report, page 137 https://www.edf.fr/sites/groupe/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/urd/edf-urd-annual-financial-report-2020-en.pdf",$78 700 000 000,$741 000 000
211,Fubon Financial        ,Insurance,Taiwan,4 797 ,44 141,11 691,3 553,41 272,44 825,8 927,53 752,$68 489,$57 114,#REF!,#REF!,#REF!,#REF!,#REF!,2,$571,"Fubon_CSRreport_2020, page 37 https://www.fubon.com/financialholdings/en/citizenship/downloadlist/downloadlist/Fubon_CSRreport_2020_EN.pdf",$35 200 000 000,$3 070 000 000
212,Sun Life Financial       ,Diversified Financials,Canada,21 970 ,40 167,15 676,18 971,34 759,53 730,14 056,67 786,$34 618,$27 439,#REF!,#REF!,#REF!,#REF!,#REF!,3,$274,"Sustainability Report 2020, page 55, https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/sustainability-report-2020-e.pdf",$27 000 000 000,$1 860 000 000
213,General Dynamics        ,Aerospace & Defense,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.gd.com/-/media/GD-Corporate/Responsibility/gd-2020-sustainability-report.ashx,$37 900 000 000,$3 170 000 000
214,Møller-Maersk         ,Transportation,Denmark,36 204 000 ,287 000,--,33 902 000,642 000,34 544 000,19 017 000,53 561 000,$81,$52,#REF!,#REF!,#REF!,#REF!,#REF!,1 353,$1,"APMM Sustainability Report 2020, page 23 file:///C:/Users/muham/Downloads/APMM%20Sustainability%20Report%202020%20A3.pdf",$39 600 000 000,$2 790 000 000
215,Volvo Group        ,Consumer Durables,Sweden,232 587 ,124 561,137 788,190 699,97 000,287 699,--,,$7 299,,#REF!,#VALUE!,,#REF!,#VALUE!,0,,"annual-and-sustainability-report-2020, page 159 https://www.volvogroup.com/content/dam/volvo/volvo-group/markets/global/en-en/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2020.pdf",$36 800 000 000,$2 100 000 000
216,Altria Group        ,"Food, Drink & Tobacco",United States,154 507 ,147 909,5 227 733,139 868,141 100,280 968,5 189 893,5 470 861,$15 874,$815,#REF!,#REF!,#REF!,#REF!,#REF!,263,$8,"Altria Environmental Data Supplement, page 1, https://www.altria.com/-/media/Project/Altria/Altria/responsibility/environmental-management/Environmental_Management_Website_Data_Supplement.pdf",$20 800 000 000,$4 460 000 000
217,Humana         ,Drugs & Biotechnology,United States,16 513 ,77 247,--,11 946,68 235,80 181,--,,$42 030,,#REF!,#VALUE!,,#REF!,#VALUE!,,,https://www.humana.com/about/corporate/environmental-responsibility,$77 100 000 000,$3 370 000 000
218,Anglo American        ,Materials,United Kingdom,10 880 000 ,6 860 000,--,9 950 000,6 130 000,16 080 000,--,,$129,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"aa-sustainability-report-2020, page 105, https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/sustainability/aa-sustainability-report-2020.pdf",$30 800 000 000,$2 070 000 000
219,Netflix         ,Media,United States,56 754 ,29 937,1 314 681,34 042,31 664,65 706,1 124 953,1 190 659,$42 005,$2 318,#REF!,#REF!,#REF!,#REF!,#REF!,48,$23,"2020-SASB-Report, page 5, https://s22.q4cdn.com/959853165/files/doc_downloads/2021/03/2020-SASB-Report_FINAL.pdf",$25 000 000 000,$2 760 000 000
220,HDFC         ,Business Services & Supplies,India,7 716 ,495 709,17 306,7 600,390 000,397 600,16 400,414 000,$5 936,$5 700,#REF!,#REF!,#REF!,#REF!,#REF!,26,$57,https://v1.hdfcbank.com/htdocs/common/2020/July/AR/hdfc-AR/environment.html,$16 200 000 000,$2 360 000 000
221,Qatar National Bank       ,Banking,Qatar,12 692 ,75 934,--,10 376,67 152,77 528,--,,$38 051,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"enSustainability2020, page 38, https://www.qnb.com/sites/qnb/qnbqatar/document/en/enSustainability2020",$13 100 000 000,$2 950 000 000
222,Xiaomi         ,Technology Hardware & Equipment,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://i01.appmifile.com/webfile/globalimg/0320/TO-B/pdf-file/Xiaomi_Sustainability_2020.pdf,$35 700 000 000,$2 980 000 000
223,Air Liquide        ,Chemicals,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.airliquide.com/sites/airliquide.com/files/2020/11/18/november-2020-air-liquide-esg-presentation.pdf,$23 400 000 000,$2 780 000 000
